BUSINESS UNIT,BUSINESS LINE,ACTIVITY DATE,Sum of AHT,Sum of TOTAL TIME - AHT (sec),Sum of VOLUME - RECEIVED,Sum of CONFORMANCE,Sum of ADHERENCE,Sum of ABANDONMENT RATE,Sum of SERVICE LEVEL,Unplanned Out
RIS,RIS,12/11/2019,741,1778400,2626,97.05%,92.24%,8.61%,0.520182788,60.33333333
RIS,RIS,12/12/2019,704,1578368,2398,97.10%,91.62%,6.51%,0.459966639,46.25
RIS,RIS,12/13/2019,771,1813392,2989,95.02%,90.89%,21.31%,0.300100368,79.83333333
RIS,RIS,12/16/2019,774,2105280,4179,97.95%,93.94%,34.91%,0.100023929,180.5833333
RIS,RIS,12/17/2019,745,2061415,3857,94.60%,91.64%,28.26%,0.210007778,132.25
RIS,RIS,12/18/2019,739,2055898,2946,96.36%,93.86%,5.50%,0.540081522,110.5
RIS,RIS,12/19/2019,740,1795240,2559,96.50%,92.66%,5.20%,0.45017585,102.25
RIS,RIS,12/20/2019,764,1683856,2755,98.57%,94.22%,20.00%,0.309981851,156.5833333
RIS,RIS,12/23/2019,782,2177088,3515,92.87%,91.80%,20.80%,0.229871977,173.75
RIS,RIS,12/24/2019,710,1055770,1491,94.91%,91.52%,0.27%,0.989939638,56.91666667
RIS,RIS,12/25/2019,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,12/26/2019,788,1720992,2699,99.04%,92.44%,19.08%,0.210077807,263.9166667
RIS,RIS,12/27/2019,821,1673198,3336,95.48%,90.54%,38.91%,0.130095923,325.5
RIS,RIS,12/30/2019,760,2182720,4279,96.96%,93.52%,32.88%,0.110072447,255.25
RIS,RIS,12/31/2019,704,1672000,2552,99.12%,93.69%,6.94%,0.559952978,269.5833333
RIS,RIS,1/1/2020,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,1/2/2020,690,2290110,4981,96.78%,94.71%,33.37%,0.149969886,130.25
RIS,RIS,1/3/2020,700,2097200,3455,96.62%,94.75%,13.29%,0.329956585,155.25
RIS,RIS,1/6/2020,714,2263380,4263,98.33%,94.11%,25.64%,0.209946047,216.8333333
RIS,RIS,1/7/2020,700,2067100,3279,94.68%,91.92%,9.94%,0.419945105,96.75
RIS,RIS,1/8/2020,671,1908324,3016,97.30%,92.86%,5.70%,0.529840849,130.75
RIS,RIS,1/9/2020,675,1951425,3008,97.40%,93.52%,3.89%,0.570146277,96.28333333
RIS,RIS,1/10/2020,688,1983504,2973,97.50%,94.11%,3.03%,0.630003364,114
RIS,RIS,1/13/2020,681,2192820,3462,99.85%,95.11%,6.99%,0.40005777,104.9333333
RIS,RIS,1/14/2020,657,1759446,2777,97.90%,94.47%,3.56%,0.519985596,100
RIS,RIS,1/15/2020,641,1548656,2464,98.93%,94.00%,1.95%,0.799918831,82.33333333
RIS,RIS,1/16/2020,673,1675770,2557,99.69%,94.81%,2.62%,0.560031287,88.33333333
RIS,RIS,1/17/2020,687,1687959,2879,99.31%,93.85%,14.66%,0.279958319,164.5
RIS,RIS,1/20/2020,627,900999,1458,100.23%,93.76%,1.44%,0.770233196,8.5
RIS,RIS,1/21/2020,686,1920114,2961,98.36%,94.26%,5.47%,0.459979737,128.9166667
RIS,RIS,1/22/2020,630,1703520,2813,98.98%,94.75%,3.87%,0.639886242,62.63333333
RIS,RIS,1/23/2020,636,1472340,2377,98.17%,94.95%,2.61%,0.790071519,58.66666667
RIS,RIS,1/24/2020,651,1475166,2323,97.55%,95.43%,2.45%,0.690055962,76.5
RIS,RIS,1/27/2020,667,1902284,3150,97.68%,94.30%,9.46%,0.3,151.2666667
RIS,RIS,1/28/2020,672,1643712,2503,98.45%,94.20%,2.28%,0.729924091,73.08333333
RIS,RIS,1/29/2020,639,1538073,2443,98.71%,94.96%,1.47%,0.780188293,70.61666667
RIS,RIS,1/30/2020,648,1458648,2274,99.97%,94.63%,1.01%,0.87994723,60
RIS,RIS,1/31/2020,663,1497054,2352,99.39%,94.80%,4.00%,0.550170068,117.4166667
RIS,RIS,2/3/2020,667,1895614,3115,97.72%,91.87%,8.76%,0.4,192.9833333
RIS,RIS,2/4/2020,620,1634320,2760,96.31%,91.43%,4.49%,0.6,209.2833333
RIS,RIS,2/5/2020,628,1534204,2514,96.48%,93.38%,2.82%,0.589896579,108.75
RIS,RIS,2/6/2020,616,1562792,2635,99.58%,94.89%,3.72%,0.639848197,86.08333333
RIS,RIS,2/7/2020,635,1504950,2617,93.96%,91.58%,9.44%,0.350019106,183.4333333
RIS,RIS,2/10/2020,630,1939140,3385,95.76%,93.01%,9.07%,0.309896603,126.25
RIS,RIS,2/11/2020,601,1611281,2817,92.88%,93.73%,4.83%,0.390131345,84.08333333
RIS,RIS,2/12/2020,611,1518335,2587,95.91%,92.42%,3.94%,0.570158485,78
RIS,RIS,2/13/2020,619,1537596,2507,98.99%,93.17%,0.92%,0.82010371,39
RIS,RIS,2/14/2020,597,1502092,2568,94.25%,92.19%,1.95%,0.64758567,97.58333333
RIS,RIS,2/17/2020,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,2/18/2020,674,2422758,4530,98.98%,93.69%,20.68%,0.185871965,140.1666667
RIS,RIS,2/19/2020,616,1969602,3324,97.17%,93.68%,3.79%,0.507521059,61.03333333
RIS,RIS,2/20/2020,622,1590207,2605,95.47%,91.96%,1.88%,0.786948177,50.75
RIS,RIS,2/21/2020,629,1683606,2734,98.74%,94.68%,2.05%,0.672275055,74.63333333
RIS,RIS,2/24/2020,623,2306526,4152,98.26%,94.48%,10.79%,0.307803468,83.03333333
RIS,RIS,2/25/2020,610,1680232,3311,102.62%,95.61%,16.76%,0.306855935,77.33333333
RIS,RIS,2/26/2020,614,1802500,3008,101.59%,95.68%,2.46%,0.742021277,81.53333333
RIS,RIS,2/27/2020,613,1907297,3369,101.63%,95.32%,7.63%,0.451766103,87.63333333
RIS,RIS,2/28/2020,640,2105806,4501,96.63%,88.96%,26.95%,0.160630971,129.3333333
RIS,RIS,3/2/2020,638,2215475,4528,100.80%,95.61%,23.32%,0.130300353,185.75
RIS,RIS,3/3/2020,581,1742035,3162,100.82%,95.04%,5.25%,0.541113219,114.25
RIS,RIS,3/4/2020,592,1599855,2794,101.64%,94.48%,3.33%,0.821760916,69
RIS,RIS,3/5/2020,579,1420935,2503,98.50%,94.97%,1.92%,0.800239712,115.3833333
RIS,RIS,3/6/2020,586,1544308,2742,99.30%,95.07%,3.87%,0.643690737,117.5
RIS,RIS,3/9/2020,627,2501178,4517,99.98%,93.09%,11.73%,0.361301749,155.8333333
RIS,RIS,3/10/2020,613,2046170,3486,99.11%,92.54%,4.30%,0.75157774,99.5
RIS,RIS,3/11/2020,583,1742284,3096,96.77%,92.16%,3.46%,0.852713178,59.33333333
RIS,RIS,3/12/2020,641,2359386,4437,100.02%,90.65%,17.08%,0.182105026,80.91666667
RIS,RIS,3/13/2020,612,2062255,3765,97.81%,92.89%,10.49%,0.372642762,90.16666667
RIS,RIS,3/16/2020,682,2558313,4787,96.97%,92.89%,21.60%,0.169208272,101.1666667
RIS,RIS,3/17/2020,658,2078708,3979,92.46%,88.52%,20.58%,0.218899221,61.16666667
RIS,RIS,3/18/2020,630,2099543,3753,98.33%,92.57%,11.16%,0.427124967,71.61666667
RIS,RIS,3/19/2020,658,1970144,3500,93.47%,88.87%,14.49%,0.306,56.25
RIS,RIS,3/20/2020,638,1959140,3451,98.21%,89.32%,10.98%,0.429150971,77.66666667
RIS,RIS,3/23/2020,708,2473618,4746,94.47%,88.26%,26.38%,0.148124737,71.5
RIS,RIS,3/24/2020,640,1890188,2966,94.98%,90.35%,0.40%,0.944706676,57.5
RIS,RIS,3/25/2020,635,1772241,2800,96.96%,94.12%,0.39%,0.979285714,22.25
RIS,RIS,3/26/2020,623,1569292,2538,100.13%,93.07%,0.83%,0.960204886,34.5
RIS,RIS,3/27/2020,607,1460523,2417,98.32%,93.38%,0.37%,0.992552751,20
RIS,RIS,3/30/2020,613,1858666,3044,98.58%,93.23%,0.36%,0.976675427,39.61666667
RIS,RIS,3/31/2020,623,1558668,2510,98.63%,94.42%,0.40%,0.988446215,39.7
RIS,RIS,4/1/2020,620,1536254,2487,95.73%,91.70%,0.40%,0.984720547,40
RIS,RIS,4/2/2020,590,1293045,2200,97.04%,91.36%,0.32%,0.983181818,17.08333333
RIS,RIS,4/3/2020,596,1390398,2340,95.48%,91.05%,0.34%,0.982478632,33.25
RIS,RIS,4/6/2020,599,1846154,3093,98.51%,93.73%,0.39%,0.949563531,45.16666667
RIS,RIS,4/7/2020,635,1932259,3146,92.67%,92.17%,3.31%,0.500953592,10
RIS,RIS,4/8/2020,605,1626876,2727,91.21%,92.04%,1.39%,0.715804914,21.5
RIS,RIS,4/9/2020,605,1634981,2751,93.97%,91.14%,1.71%,0.595056343,21.33333333
RIS,RIS,4/10/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,4/13/2020,641,2054230,3877,97.46%,92.62%,17.31%,0.165849884,57.5
RIS,RIS,4/14/2020,639,1761549,2830,98.45%,92.12%,2.61%,0.501413428,38.91666667
RIS,RIS,4/15/2020,626,1525636,2466,93.59%,92.45%,1.09%,0.744120032,21.66666667
RIS,RIS,4/16/2020,616,1275465,2097,98.55%,91.44%,1.19%,0.794468288,12
RIS,RIS,4/17/2020,614,1409071,2331,99.22%,93.81%,1.59%,0.644787645,30.5
RIS,RIS,4/20/2020,610,1698146,2802,96.12%,92.52%,0.57%,0.899357602,65.75
RIS,RIS,4/21/2020,645,1360195,2138,95.40%,92.51%,1.36%,0.769410664,17.83333333
RIS,RIS,4/22/2020,618,1239645,2025,99.21%,93.73%,0.89%,0.912592593,42.08333333
RIS,RIS,4/23/2020,601,1059601,1779,101.44%,94.65%,0.90%,0.949971894,17
RIS,RIS,4/24/2020,594,1080995,1825,97.22%,91.89%,0.33%,0.957260274,43.5
RIS,RIS,4/27/2020,594,1479115,2527,99.21%,92.66%,1.46%,0.657696874,78.83333333
RIS,RIS,4/28/2020,568,1175884,2077,97.65%,93.55%,0.34%,0.909484834,47.16666667
RIS,RIS,4/29/2020,588,1159018,1984,98.01%,93.22%,0.71%,0.842741935,52.61666667
RIS,RIS,4/30/2020,605,1112666,1851,96.40%,93.18%,0.65%,0.883306321,19.41666667
RIS,RIS,5/1/2020,581,1162326,2033,95.43%,90.30%,1.57%,0.801770782,53.5
RIS,RIS,5/4/2020,587,1357206,2338,96.08%,91.86%,1.07%,0.820359281,19.25
RIS,RIS,5/5/2020,576,1148452,2014,95.55%,90.57%,0.94%,0.873386296,51.15
RIS,RIS,5/6/2020,607,1204198,2000,95.12%,89.31%,0.75%,0.909,49.16666667
RIS,RIS,5/7/2020,640,1242575,1953,96.85%,88.10%,0.56%,0.946236559,30.75
RIS,RIS,5/8/2020,614,1302771,2127,96.99%,91.27%,0.28%,0.957686883,56.83333333
RIS,RIS,5/11/2020,634,1518497,2419,94.33%,92.30%,0.95%,0.849937991,56.75
RIS,RIS,5/12/2020,597,1225758,2062,97.78%,92.63%,0.39%,0.906401552,23.58333333
RIS,RIS,5/13/2020,584,1094960,1888,98.65%,93.53%,0.64%,0.912605932,14.25
RIS,RIS,5/14/2020,574,982414,1721,97.22%,93.46%,0.46%,0.973852411,22
RIS,RIS,5/15/2020,619,1052859,1716,98.20%,91.80%,0.93%,0.901515152,82.95
RIS,RIS,5/18/2020,614,1425288,2405,94.91%,89.65%,3.41%,0.523492723,57.5
RIS,RIS,5/19/2020,613,1204184,2001,93.86%,90.88%,1.85%,0.667166417,32.41666667
RIS,RIS,5/20/2020,608,1070061,1771,99.37%,92.31%,0.68%,0.856013552,24.41666667
RIS,RIS,5/21/2020,646,1080350,1692,98.85%,91.51%,1.12%,0.697990544,39.65
RIS,RIS,5/22/2020,609,1029866,1710,98.11%,92.01%,1.17%,0.816374269,52.15
RIS,RIS,5/25/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,5/26/2020,625,1483344,2421,98.91%,91.75%,1.90%,0.694754234,43.25
RIS,RIS,5/27/2020,615,1320850,2220,95.56%,91.07%,3.29%,0.722522523,60.75
RIS,RIS,5/28/2020,585,1184454,2037,92.01%,86.78%,0.54%,0.926362297,24.75
RIS,RIS,5/29/2020,613,1099485,1804,95.52%,92.01%,0.61%,0.982815965,14.58333333
RIS,RIS,6/1/2020,607,1429433,2365,94.45%,93.30%,0.51%,0.902748414,30.5
RIS,RIS,6/2/2020,608,1210057,2020,92.57%,88.41%,1.44%,0.782673267,34.68333333
RIS,RIS,6/3/2020,622,1279122,2072,97.19%,90.93%,0.82%,0.86969112,55.75
RIS,RIS,6/4/2020,594,1065267,1825,93.32%,89.55%,1.81%,0.790684932,39
RIS,RIS,6/5/2020,606,1358773,2349,96.33%,89.67%,4.51%,0.494678587,46.5
RIS,RIS,6/8/2020,638,1869184,3451,99.42%,92.95%,15.10%,0.191828456,76.36666667
RIS,RIS,6/9/2020,598,1477893,2541,96.23%,89.64%,2.68%,0.634395907,33.91666667
RIS,RIS,6/10/2020,606,1291666,2148,97.90%,91.75%,0.74%,0.941806331,25.5
RIS,RIS,6/11/2020,591,1254293,2234,94.40%,88.75%,5.06%,0.566248881,36
RIS,RIS,6/12/2020,593,1171875,2013,97.11%,88.89%,1.89%,0.619473423,59.91666667
RIS,RIS,6/15/2020,605,1436512,2419,99.35%,93.65%,1.86%,0.738321621,74.66666667
RIS,RIS,6/16/2020,622,1398389,2283,98.77%,92.04%,1.53%,0.799824792,51.58333333
RIS,RIS,6/17/2020,631,1329490,2124,95.72%,90.93%,0.85%,0.838041431,52.25
RIS,RIS,6/18/2020,641,1305753,2054,95.29%,90.74%,0.78%,0.845180136,51.43333333
RIS,RIS,6/19/2020,672,1255259,1879,98.02%,91.94%,0.53%,0.892496009,33.08333333
RIS,RIS,6/22/2020,615,1593898,2617,96.21%,91.26%,0.99%,0.771876194,100.0833333
RIS,RIS,6/23/2020,649,1506165,2345,98.71%,91.53%,1.11%,0.831130064,45.5
RIS,RIS,6/24/2020,630,1370393,2193,96.45%,90.93%,0.78%,0.828545372,25.83333333
RIS,RIS,6/25/2020,614,1188964,1960,98.26%,91.23%,1.22%,0.812244898,48.98333333
RIS,RIS,6/26/2020,605,1258597,2113,97.70%,89.70%,1.61%,0.703265499,67.75
RIS,RIS,6/29/2020,632,1739316,2903,92.33%,89.08%,5.24%,0.532552532,36.58333333
RIS,RIS,6/30/2020,640,1458682,2377,96.69%,91.38%,4.08%,0.583087926,42.5
RIS,RIS,7/1/2020,628,1384300,2222,95.12%,89.36%,0.86%,0.776777678,17
RIS,RIS,7/2/2020,639,1255788,2079,100.10%,91.59%,5.44%,0.564213564,47.5
RIS,RIS,7/3/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,7/6/2020,682,1974059,3622,98.84%,91.96%,20.04%,0.073992269,66
RIS,RIS,7/7/2020,676,1888610,3028,100.38%,91.81%,7.69%,0.318692206,75.6
RIS,RIS,7/8/2020,659,1683648,2771,98.65%,91.67%,7.87%,0.427282569,39.43333333
RIS,RIS,7/9/2020,652,1624486,2782,98.29%,92.22%,10.42%,0.235442128,48.5
RIS,RIS,7/10/2020,680,1812788,3063,96.65%,89.62%,12.96%,0.149526608,20.58333333
RIS,RIS,7/13/2020,723,2479249,4195,96.78%,90.93%,18.24%,0.129439809,45
RIS,RIS,7/14/2020,676,2097566,3229,100.25%,94.02%,3.84%,0.611644472,50.5
RIS,RIS,7/15/2020,705,1988846,3035,98.82%,91.77%,6.99%,0.462602965,45
RIS,RIS,7/16/2020,663,1500890,2302,99.48%,89.50%,1.61%,0.61164205,39.66666667
RIS,RIS,7/17/2020,685,1452152,2282,98.85%,91.67%,7.06%,0.400087642,54.66666667
RIS,RIS,7/20/2020,690,1931059,2917,97.34%,91.13%,4.08%,0.431950634,33.5
RIS,RIS,7/21/2020,666,1621591,2505,96.90%,90.68%,2.87%,0.669461078,23.66666667
RIS,RIS,7/22/2020,640,1356071,2131,96.43%,88.98%,0.56%,0.901923979,37.33333333
RIS,RIS,7/23/2020,640,1306247,2059,99.83%,91.25%,0.83%,0.8756678,75.1
RIS,RIS,7/24/2020,645,1250559,1970,93.08%,89.43%,1.57%,0.80964467,85
RIS,RIS,7/27/2020,658,1660603,2571,96.46%,92.25%,1.83%,0.734344613,56.08333333
RIS,RIS,7/28/2020,635,1278233,2030,97.77%,90.65%,0.79%,0.873399015,36.5
RIS,RIS,7/29/2020,642,1253719,1963,98.25%,91.54%,0.51%,0.936321956,64.33333333
RIS,RIS,7/30/2020,618,1199518,1959,96.09%,90.64%,0.97%,0.919346605,55.5
RIS,RIS,7/31/2020,638,1237278,1949,98.21%,90.46%,0.46%,0.938429964,50.08333333
RIS,RIS,8/3/2020,620,1672833,2807,99.44%,92.70%,3.85%,0.613822586,68.46666667
RIS,RIS,8/4/2020,605,1401970,2351,98.63%,92.25%,1.40%,0.78136963,32.5
RIS,RIS,8/5/2020,648,1376291,2143,99.26%,89.17%,0.84%,0.771348577,29.5
RIS,RIS,8/6/2020,605,1188758,1989,99.44%,91.46%,1.21%,0.680241327,46.28333333
RIS,RIS,8/7/2020,630,1286222,2079,99.27%,91.22%,1.83%,0.616642617,47
RIS,RIS,8/10/2020,649,1643569,2657,98.73%,91.20%,4.70%,0.461422657,47.83333333
RIS,RIS,8/11/2020,664,1537920,2408,98.92%,90.86%,3.86%,0.386627907,23.46666667
RIS,RIS,8/12/2020,660,1419693,2186,96.45%,89.87%,1.65%,0.785452882,21.25
RIS,RIS,8/13/2020,634,1302642,2111,95.45%,87.45%,2.61%,0.584557082,49.83333333
RIS,RIS,8/14/2020,637,1258615,1992,99.42%,92.01%,0.75%,0.797188755,46.75
RIS,RIS,8/17/2020,651,1664099,2690,95.15%,91.19%,5.02%,0.373234201,63.25
RIS,RIS,8/18/2020,638,1289844,2189,95.56%,88.18%,7.67%,0.325719507,51.25
RIS,RIS,8/19/2020,645,1317630,2196,97.21%,91.82%,6.97%,0.265482696,63.5
RIS,RIS,8/20/2020,630,1205699,1962,94.23%,89.81%,2.50%,0.571355759,38.41666667
RIS,RIS,8/21/2020,662,1247890,2180,93.91%,89.58%,13.58%,0.246330275,29.16666667
RIS,RIS,8/24/2020,676,1780078,2888,94.82%,90.77%,8.86%,0.239958449,58.16666667
RIS,RIS,8/25/2020,682,1501279,2366,99.91%,92.03%,6.93%,0.294167371,30.25
RIS,RIS,8/26/2020,649,1287188,2046,98.78%,92.63%,3.13%,0.528836755,38.98333333
RIS,RIS,8/27/2020,623,1250642,2148,100.66%,92.12%,6.61%,0.310055866,45
RIS,RIS,8/28/2020,664,1309698,2261,98.66%,92.10%,12.78%,0.222025652,46
RIS,RIS,8/31/2020,681,1679499,2950,98.65%,93.02%,16.37%,0.138305085,79.68333333
RIS,RIS,9/1/2020,654,1701158,2883,102.47%,92.03%,9.71%,0.210891433,60.5
RIS,RIS,9/2/2020,659,1541736,2646,100.69%,93.07%,11.60%,0.177626606,60.08333333
RIS,RIS,9/3/2020,666,1467847,2489,100.52%,93.18%,11.41%,0.380875854,77.78333333
RIS,RIS,9/4/2020,658,1243889,2015,99.23%,90.12%,6.15%,0.409925558,78.5
RIS,RIS,9/7/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
RIS,RIS,9/8/2020,690,1646509,2751,97.14%,91.87%,13.27%,0.216284987,121.8333333
RIS,RIS,9/9/2020,673,1457016,2351,99.87%,91.98%,7.91%,0.341131433,42.58333333
RIS,RIS,9/10/2020,638,1293115,2123,97.42%,88.94%,4.57%,0.507300989,20.25
RIS,RIS,9/11/2020,649,1244781,1964,101.11%,91.31%,2.39%,0.682281059,31.91666667
RIS,RIS,9/14/2020,684,1693931,2556,102.36%,91.60%,3.17%,0.685446009,25.5
RIS,RIS,9/15/2020,661,1438423,2282,99.65%,90.34%,4.69%,0.471078002,7.25
RIS,RIS,9/16/2020,648,1299688,2080,103.85%,91.04%,3.61%,0.568269231,17.5
RIS,RIS,9/17/2020,654,1159817,1815,99.74%,90.32%,2.26%,0.708539945,50.41666667
RIS,RIS,9/18/2020,655,1233899,1924,104.45%,93.46%,2.03%,0.817567568,21.25
RIS,RIS,9/21/2020,650,1529730,2428,95.42%,92.72%,3.01%,0.761943987,91.05
RIS,RIS,9/22/2020,643,1332710,2159,95.31%,91.04%,4.03%,0.634089856,48.41666667
RIS,RIS,9/23/2020,617,1175918,1945,96.62%,91.56%,2.01%,0.714652956,47.16666667
RIS,RIS,9/24/2020,608,1083319,1814,93.84%,90.47%,1.76%,0.730429989,8.5
RIS,RIS,9/25/2020,607,1155637,1944,98.72%,92.83%,2.06%,0.780864198,41.63333333
RIS,RIS,9/28/2020,642,1734883,2884,97.75%,91.21%,6.31%,0.626213592,51.66666667
RIS,RIS,9/29/2020,622,1432218,2351,97.48%,91.73%,2.00%,0.706082518,28.91666667
RIS,RIS,9/30/2020,627,1290002,2164,104.45%,90.71%,4.99%,0.689001848,33.75
RIS,RIS,10/1/2020,588,1480694,2756,95.34%,89.28%,8.56%,0.443759071,28
RIS,RIS,10/2/2020,616,1369066,2290,103.66%,92.57%,3.01%,0.678165939,41.11666667
RIS,RIS,10/5/2020,684,1979636,2990,97.48%,92.10%,3.14%,0.488294314,31.25
RIS,RIS,10/6/2020,644,1552378,2449,97.26%,92.67%,1.55%,0.749285423,31.75
RIS,RIS,10/7/2020,572,1224111,2205,99.49%,92.14%,2.95%,0.746485261,30.41666667
RIS,RIS,10/8/2020,621,1286106,2173,95.84%,88.63%,4.74%,0.659456972,25.25
RIS,RIS,10/9/2020,624,1431327,2491,99.21%,89.36%,7.95%,0.344841429,60
RIS,RIS,10/12/2020,688,1778904,3044,92.46%,88.09%,15.11%,0.264454665,70.83333333
RIS,RIS,10/13/2020,640,1699768,2961,101.83%,92.44%,10.33%,0.290780142,79.8
RIS,RIS,10/14/2020,686,1548740,2766,97.13%,90.72%,18.37%,0.154736081,52.41666667
RIS,RIS,10/15/2020,642,1431281,2315,99.16%,92.23%,3.76%,0.580561555,25.5
RIS,RIS,10/16/2020,651,1447284,2323,101.10%,92.12%,4.26%,0.500645717,71
RIS,RIS,10/19/2020,655,1782788,2916,95.59%,92.44%,6.72%,0.464677641,92.66666667
RIS,RIS,10/20/2020,651,1470631,2315,99.89%,92.33%,2.38%,0.698488121,44.5
RIS,RIS,10/21/2020,619,1244497,2062,100.12%,91.95%,2.52%,0.58971872,33.5
RIS,RIS,10/22/2020,649,1175155,1870,100.50%,92.38%,3.10%,0.690374332,52.5
RIS,RIS,10/23/2020,609,1187535,1974,101.05%,93.07%,1.22%,0.844478217,71.66666667
RIS,RIS,10/26/2020,636,1587949,2591,95.56%,90.05%,3.67%,0.565804709,105.75
RIS,RIS,10/27/2020,653,1343902,2107,98.23%,90.21%,2.33%,0.670147129,76
RIS,RIS,10/28/2020,638,1229039,2085,96.38%,90.53%,7.58%,0.369784173,52.91666667
RIS,RIS,10/29/2020,663,1252376,1950,97.05%,91.32%,3.08%,0.505128205,63.83333333
RIS,RIS,10/30/2020,642,1183913,1894,99.55%,92.25%,2.64%,0.56124604,57.33333333
RIS,RIS,11/2/2020,640,1479623,2408,100.04%,92.51%,4.03%,0.599667774,120.5
RIS,RIS,11/3/2020,645,1208007,1980,96.96%,89.59%,5.40%,0.499494949,76.53333333
RIS,RIS,11/4/2020,657,1224105,1902,100.76%,93.51%,2.00%,0.770241851,86
RIS,RIS,11/5/2020,662,1318610,2124,100.05%,90.95%,6.17%,0.484463277,41.58333333
RIS,RIS,11/6/2020,691,1302958,2264,98.82%,90.86%,16.70%,0.258392226,87.16666667
RIS,RIS,11/9/2020,702,1787124,3603,97.88%,89.77%,29.34%,0.207604774,69.16666667
RIS,RIS,11/10/2020,634,1308264,2338,102.51%,92.18%,11.80%,0.219846022,94.25
RIS,RIS,11/11/2020,674,1178340,2009,103.48%,93.15%,12.99%,0.286212046,61.98333333
RIS,RIS,11/12/2020,655,1069638,2186,#DIV/0!,#DIV/0!,25.25%,0.30558097,32.91666667
RIS,RIS,11/13/2020,689,1044478,2142,101.57%,90.24%,29.27%,0.152661064,58.66666667
RIS,RIS,11/16/2020,681,1447049,3047,98.98%,92.46%,30.23%,0.15982934,71
RIS,RIS,11/17/2020,665,1313686,2551,99.93%,90.71%,22.54%,0.199921599,34.25
RIS,RIS,11/18/2020,658,1227182,2299,100.36%,91.01%,18.88%,0.125271857,39.8
WISE,WISE Contractual,1/1/2019,503,138702,473,#DIV/0!,#DIV/0!,3.81%,0.884353741,0
WISE,WISE Contractual,1/2/2019,591,4933927,8869,#DIV/0!,#DIV/0!,5.80%,0.461746784,346.25
WISE,WISE Contractual,1/3/2019,583,4018258,7001,#DIV/0!,#DIV/0!,1.47%,0.822031474,262.95
WISE,WISE Contractual,1/4/2019,576,3804764,6646,#DIV/0!,#DIV/0!,0.57%,0.894911171,305.5833333
WISE,WISE Contractual,1/7/2019,579,4562652,8092,#DIV/0!,#DIV/0!,2.61%,0.695732839,339.2666667
WISE,WISE Contractual,1/8/2019,558,3674051,6633,#DIV/0!,#DIV/0!,0.69%,0.923401689,218.75
WISE,WISE Contractual,1/9/2019,554,3365181,6108,#DIV/0!,#DIV/0!,0.64%,0.933366077,206.05
WISE,WISE Contractual,1/10/2019,558,3178583,5719,#DIV/0!,#DIV/0!,0.42%,0.96903429,182
WISE,WISE Contractual,1/11/2019,549,3099013,5668,#DIV/0!,#DIV/0!,0.39%,0.972295747,260.25
WISE,WISE Contractual,1/14/2019,553,4241555,7845,#DIV/0!,#DIV/0!,1.61%,0.760769231,392.9166667
WISE,WISE Contractual,1/15/2019,547,3604258,6687,#DIV/0!,#DIV/0!,1.09%,0.890723506,189.4166667
WISE,WISE Contractual,1/16/2019,555,3538052,6411,#DIV/0!,#DIV/0!,0.42%,0.96049961,128.0166667
WISE,WISE Contractual,1/17/2019,545,3367230,6230,#DIV/0!,#DIV/0!,0.79%,0.956486834,121.5
WISE,WISE Contractual,1/18/2019,562,3746733,6794,#DIV/0!,#DIV/0!,1.80%,0.740500736,241.25
WISE,WISE Contractual,1/21/2019,525,2222864,4245,#DIV/0!,#DIV/0!,0.33%,0.941564562,178
WISE,WISE Contractual,1/22/2019,556,4127978,7739,#DIV/0!,#DIV/0!,3.94%,0.693642367,511.5833333
WISE,WISE Contractual,1/23/2019,533,3545981,6716,#DIV/0!,#DIV/0!,0.82%,0.919571046,163.8833333
WISE,WISE Contractual,1/24/2019,547,3242629,5975,#DIV/0!,#DIV/0!,0.65%,0.925150703,164.6666667
WISE,WISE Contractual,1/25/2019,555,3309781,6203,#DIV/0!,#DIV/0!,3.84%,0.607229305,321.25
WISE,WISE Contractual,1/28/2019,546,4088817,7570,#DIV/0!,#DIV/0!,1.00%,0.798863486,361.3333333
WISE,WISE Contractual,1/29/2019,526,3163183,6071,#DIV/0!,#DIV/0!,0.68%,0.912871287,230.25
WISE,WISE Contractual,1/30/2019,532,3165931,6034,#DIV/0!,#DIV/0!,1.21%,0.812645204,199.25
WISE,WISE Contractual,1/31/2019,522,3059774,5983,#DIV/0!,#DIV/0!,2.06%,0.768227425,226.3333333
WISE,WISE Contractual,2/1/2019,540,3226683,6092,#DIV/0!,#DIV/0!,1.77%,0.739888195,325.5
WISE,WISE Contractual,2/4/2019,548,4079728,7930,#DIV/0!,#DIV/0!,6.05%,0.337243032,369.4166667
